level,wilayah,variabel,tahun,forecast,lower,upper,resid_std_insample
kabkota,Kabupaten Bangkalan,TPT,2026,5.32,2.9,7.74,1.236
kabkota,Kabupaten Bangkalan,TPT,2027,5.31,1.89,8.74,1.236
kabkota,Kabupaten Bangkalan,TPT,2028,5.3,1.11,9.5,1.236
kabkota,Kabupaten Banyuwangi,TPT,2026,4.25,1.9,6.6,1.197
kabkota,Kabupaten Banyuwangi,TPT,2027,4.25,0.93,7.57,1.197
kabkota,Kabupaten Banyuwangi,TPT,2028,4.25,0.18,8.31,1.197
kabkota,Kabupaten Blitar,TPT,2026,4.93,3.57,6.29,0.694
kabkota,Kabupaten Blitar,TPT,2027,5.01,3.08,6.93,0.694
kabkota,Kabupaten Blitar,TPT,2028,5.06,2.71,7.42,0.694
kabkota,Kabupaten Bojonegoro,TPT,2026,4.24,2.64,5.84,0.816
kabkota,Kabupaten Bojonegoro,TPT,2027,4.24,1.98,6.5,0.816
kabkota,Kabupaten Bojonegoro,TPT,2028,4.24,1.47,7.01,0.816
kabkota,Kabupaten Bondowoso,TPT,2026,3.82,2.18,5.47,0.84
kabkota,Kabupaten Bondowoso,TPT,2027,3.9,1.57,6.23,0.84
kabkota,Kabupaten Bondowoso,TPT,2028,3.97,1.12,6.82,0.84
kabkota,Kabupaten Gresik,TPT,2026,5.8,3.68,7.91,1.079
kabkota,Kabupaten Gresik,TPT,2027,5.79,2.8,8.78,1.079
kabkota,Kabupaten Gresik,TPT,2028,5.78,2.12,9.45,1.079
kabkota,Kabupaten Jember,TPT,2026,3.02,1.51,4.53,0.769
kabkota,Kabupaten Jember,TPT,2027,2.94,0.81,5.08,0.769
kabkota,Kabupaten Jember,TPT,2028,2.87,0.26,5.48,0.769
kabkota,Kabupaten Jombang,TPT,2026,4.6,2.55,6.64,1.043
kabkota,Kabupaten Jombang,TPT,2027,4.51,1.62,7.4,1.043
kabkota,Kabupaten Jombang,TPT,2028,4.42,0.88,7.97,1.043
kabkota,Kabupaten Kediri,TPT,2026,4.66,2.13,7.19,1.291
kabkota,Kabupaten Kediri,TPT,2027,4.65,1.07,8.23,1.291
kabkota,Kabupaten Kediri,TPT,2028,4.65,0.26,9.03,1.291
kabkota,Kabupaten Lamongan,TPT,2026,4.44,2.8,6.08,0.835
kabkota,Kabupaten Lamongan,TPT,2027,4.44,2.12,6.75,0.835
kabkota,Kabupaten Lamongan,TPT,2028,4.43,1.6,7.27,0.835
kabkota,Kabupaten Lumajang,TPT,2026,3.18,1.63,4.72,0.79
kabkota,Kabupaten Lumajang,TPT,2027,3.18,0.99,5.37,0.79
kabkota,Kabupaten Lumajang,TPT,2028,3.18,0.49,5.86,0.79
kabkota,Kabupaten Madiun,TPT,2026,4.15,2.0,6.29,1.094
kabkota,Kabupaten Madiun,TPT,2027,4.14,1.11,7.17,1.094
