Kabupaten/Kota,TPT,tahun,Upah
Kabupaten Pacitan,1.83,2023,2102900
Kabupaten Ponorogo,4.66,2023,2206052
Kabupaten Trenggalek,4.52,2023,2190885
Kabupaten Tulungagung,5.65,2023,1989428
Kabupaten Blitar,4.91,2023,2042891
Kabupaten Kediri,5.79,2023,2090606
Kabupaten Malang,5.7,2023,2461427
Kabupaten Lumajang,3.67,2023,1811586
Kabupaten Jember,4.01,2023,1785240
Kabupaten Banyuwangi,4.75,2023,2066490
Kabupaten Bondowoso,4.15,2023,1938709
Kabupaten Situbondo,3.27,2023,1975689
Kabupaten Probolinggo,3.24,2023,1973901
Kabupaten Pasuruan,5.48,2023,2553543
Kabupaten Sidoarjo,8.05,2023,3714947
Kabupaten Mojokerto,4.67,2023,2821501
Kabupaten Jombang,4.66,2023,2513639
Kabupaten Nganjuk,4.68,2023,2116873
Kabupaten Madiun,5.14,2023,2393247
Kabupaten Magetan,4.16,2023,2326487
Kabupaten Ngawi,2.41,2023,2172773
Kabupaten Bojonegoro,4.63,2023,2535838
Kabupaten Tuban,4.4,2023,2424051
Kabupaten Lamongan,5.46,2023,2517422
Kabupaten Gresik,6.82,2023,3483890
Kabupaten Bangkalan,6.18,2023,2672499
Kabupaten Sampang,2.72,2023,2102577
Kabupaten Pamekasan,1.74,2023,2051581
Kabupaten Sumenep,1.71,2023,2123789
Kota Kediri,4.06,2023,2662041
Kota Blitar,5.24,2023,2567593
Kota Malang,6.8,2023,3188783
Kota Probolinggo,4.53,2023,2761530
Kota Pasuruan,5.64,2023,3122151
Kota Mojokerto,4.73,2023,3154305
Kota Madiun,5.85,2023,2870909
Kota Surabaya,6.76,2023,3655924
Kota Batu,4.52,2023,2950622
Kabupaten Pacitan,1.56,2024,2106860
Kabupaten Ponorogo,4.19,2024,2227687
Kabupaten Trenggalek,3.9,2024,2262479
Kabupaten Tulungagung,4.12,2024,2067087
Kabupaten Blitar,4.77,2024,2135680
Kabupaten Kediri,5.1,2024,1896553
Kabupaten Malang,5.13,2024,2320203
Kabupaten Lumajang,3.28,2024,1905206
Kabupaten Jember,3.23,2024,2093103
Kabupaten Banyuwangi,4.03,2024,2129186
Kabupaten Bondowoso,3.63,2024,2542241
Kabupaten Situbondo,3.15,2024,1910141
Kabupaten Probolinggo,3.0,2024,2047081
Kabupaten Pasuruan,5.02,2024,2824208
Kabupaten Sidoarjo,6.49,2024,3955662
Kabupaten Mojokerto,3.87,2024,2711299
Kabupaten Jombang,3.75,2024,2467479
Kabupaten Nganjuk,3.87,2024,2394537
Kabupaten Madiun,4.34,2024,2577689
Kabupaten Magetan,3.28,2024,2384499
Kabupaten Ngawi,2.4,2024,2301137
Kabupaten Bojonegoro,4.42,2024,2354220
Kabupaten Tuban,4.28,2024,2517162
Kabupaten Lamongan,4.34,2024,2565801
Kabupaten Gresik,6.45,2024,3791294
Kabupaten Bangkalan,5.35,2024,2454525
Kabupaten Sampang,2.5,2024,2009776
Kabupaten Pamekasan,1.64,2024,1981881
Kabupaten Sumenep,1.69,2024,2083764
Kota Kediri,3.91,2024,2509576
Kota Blitar,5.11,2024,2524844
Kota Malang,6.1,2024,3154607
Kota Probolinggo,4.44,2024,2806260
Kota Pasuruan,4.63,2024,3151103
Kota Mojokerto,3.76,2024,3015113
Kota Madiun,4.3,2024,3012823
Kota Surabaya,4.91,2024,3902451
Kota Batu,3.63,2024,2945208
Kabupaten Pacitan,1.4,2025,2671775
Kabupaten Ponorogo,3.85,2025,2197569
Kabupaten Trenggalek,3.86,2025,2646589
Kabupaten Tulungagung,4.03,2025,2198529
Kabupaten Blitar,4.49,2025,2209442
Kabupaten Kediri,4.71,2025,2266597
Kabupaten Malang,5.0,2025,2616018
Kabupaten Lumajang,3.08,2025,2038258
Kabupaten Jember,3.07,2025,2244062
Kabupaten Banyuwangi,3.94,2025,2737734
Kabupaten Bondowoso,2.55,2025,2336750
Kabupaten Situbondo,3.02,2025,2118081
Kabupaten Probolinggo,2.92,2025,2553282
Kabupaten Pasuruan,4.22,2025,2791549
Kabupaten Sidoarjo,5.75,2025,3947614
Kabupaten Mojokerto,3.49,2025,2814545
Kabupaten Jombang,3.28,2025,2618094
Kabupaten Nganjuk,3.84,2025,2516623
Kabupaten Madiun,3.22,2025,2686872
Kabupaten Magetan,3.26,2025,2223704
Kabupaten Ngawi,2.26,2025,2351261
Kabupaten Bojonegoro,3.9,2025,2758178
Kabupaten Tuban,3.44,2025,2849080
Kabupaten Lamongan,4.29,2025,2856740
Kabupaten Gresik,5.47,2025,3551091
Kabupaten Bangkalan,5.31,2025,3533358
Kabupaten Sampang,2.44,2025,3155720
Kabupaten Pamekasan,1.33,2025,2021722
Kabupaten Sumenep,1.64,2025,2266004
Kota Kediri,3.76,2025,2861745
Kota Blitar,4.28,2025,2479212
Kota Malang,5.69,2025,3156303
Kota Probolinggo,4.93,2025,2853791
Kota Pasuruan,4.59,2025,3069481
Kota Mojokerto,4.66,2025,3296766
Kota Madiun,4.29,2025,2888690
Kota Surabaya,4.84,2025,3963069
Kota Batu,3.53,2025,2982673
