Kabupaten/Kota,Bekerja 2023,Pengangguran 2023,TPT 2023,Bekerja 2024,Pengangguran 2024,TPT 2024,Bekerja 2025,Pengangguran 2025,TPT 2025,Upah 2023,Upah 2024,Upah 2025,skor_TPT_2025,skor_Upah_2025,rank_TPT_2025,rank_Upah_2025,composite_index,rank_composite,selisih_TPT_vs_prov,selisih_Upah_vs_ratarata
Kabupaten Pacitan,387501,7207,1.83,413187,6534,1.56,386904,5490,1.4,2102900,2106860,2671775,98.41628959276018,33.4846372132339,2,20,65.95,2,-2.48,-47398.0
Kabupaten Ponorogo,565711,27659,4.66,592322,25928,4.19,605467,24274,3.85,2206052,2227687,2197569,42.98642533936652,9.05798911786507,19,35,26.02,34,-0.03,-521604.0
Kabupaten Trenggalek,462262,21905,4.52,464079,18818,3.9,452598,18153,3.86,2190885,2262479,2646589,42.76018099547512,32.18729057710961,20,21,37.47,24,-0.02,-72584.0
Kabupaten Tulungagung,627978,37579,5.65,650391,27923,4.12,648111,27202,4.03,1989428,2067087,2198529,38.914027149321264,9.107439319194354,23,34,24.01,35,0.15,-520644.0
Kabupaten Blitar,698611,36049,4.91,695845,34859,4.77,738733,34701,4.49,2042891,2135680,2209442,28.50678733031674,9.669574784930257,28,33,19.09,37,0.61,-509731.0
Kabupaten Kediri,857724,52753,5.79,904344,48568,5.1,894602,44187,4.71,2090606,1896553,2266597,23.529411764705884,12.613664635946073,31,29,18.07,38,0.83,-452576.0
Kabupaten Malang,1430444,86484,5.7,1498262,80950,5.13,1533518,80786,5.0,2461427,2320203,2616018,16.968325791855193,30.612559217903858,34,23,23.79,36,1.12,-103155.0
Kabupaten Lumajang,599547,22826,3.67,627319,21263,3.28,622064,19771,3.08,1811586,1905206,2038258,60.40723981900452,0.8517797178969034,10,37,30.63,31,-0.8,-680915.0
Kabupaten Jember,1428908,59716,4.01,1480981,49420,3.23,1535617,48653,3.07,1785240,2093103,2244062,60.63348416289593,11.452872670367533,9,31,36.04,26,-0.81,-475111.0
Kabupaten Banyuwangi,1042983,52041,4.75,1009553,42441,4.03,995971,40833,3.94,2066490,2129186,2737734,40.95022624434389,36.88222661894036,22,18,38.92,21,0.06,18561.0
Kabupaten Bondowoso,449210,19432,4.15,458219,17265,3.63,479074,12549,2.55,1938709,2542241,2336750,72.39819004524887,16.22728960870983,6,28,44.31,14,-1.33,-382423.0
Kabupaten Situbondo,410620,13861,3.27,420823,13674,3.15,433717,13488,3.02,1975689,1910141,2118081,61.76470588235294,4.963512447800419,8,36,33.36,29,-0.86,-601092.0
Kabupaten Probolinggo,617403,20647,3.24,657798,20331,3.0,696246,20934,2.92,1973901,2047081,2553282,64.02714932126696,27.380988561035196,7,24,45.7,12,-0.96,-165891.0
Kabupaten Pasuruan,865336,50171,5.48,929468,49113,5.02,939649,41410,4.22,2553543,2824208,2791549,34.61538461538463,39.654270977831374,24,16,37.13,25,0.34,72376.0
Kabupaten Sidoarjo,1081720,94760,8.05,1096494,76063,6.49,1140151,69549,5.75,3714947,3955662,3947614,0.0,99.20390326922492,38,2,49.6,7,1.87,1228441.0
Kabupaten Mojokerto,617533,30219,4.67,645825,25981,3.87,653623,23634,3.49,2821501,2711299,2814545,51.13122171945701,40.83880934217324,15,15,45.99,10,-0.39,95372.0
Kabupaten Jombang,723488,35334,4.66,738094,28738,3.75,757323,25686,3.28,2513639,2467479,2618094,55.88235294117648,30.71949527827843,13,22,43.3,17,-0.6,-101079.0
Kabupaten Nganjuk,568201,27910,4.68,603100,24297,3.87,637949,25489,3.84,2116873,2394537,2516623,43.21266968325792,25.492660508399577,18,25,34.35,27,-0.04,-202550.0
Kabupaten Madiun,420198,22746,5.14,425001,19285,4.34,441821,14710,3.22,2393247,2577689,2686872,57.23981900452488,34.262293139763266,11,19,45.75,11,-0.66,-32301.0
Kabupaten Magetan,412830,17906,4.16,411668,13971,3.28,401752,13553,3.26,2326487,2384499,2223704,56.33484162895928,10.40421933842842,12,32,33.37,28,-0.62,-495469.0
Kabupaten Ngawi,481671,11917,2.41,528391,12979,2.4,523834,12085,2.26,2172773,2301137,2351261,78.95927601809956,16.974760308177775,4,27,47.97,8,-1.62,-367912.0
Kabupaten Bojonegoro,750138,36411,4.63,752610,34785,4.42,810528,32937,3.9,2535838,2354220,2758178,41.85520361990951,37.935309864748554,21,17,39.9,20,0.02,39005.0
Kabupaten Tuban,697839,32097,4.4,702498,31425,4.28,698005,24854,3.44,2424051,2517162,2849080,52.26244343891403,42.61772882436782,14,14,47.44,9,-0.44,129907.0
Kabupaten Lamongan,780417,45048,5.46,792295,35981,4.34,797879,35733,4.29,2517422,2565801,2856740,33.03167420814481,43.012300222474394,26,12,38.02,23,0.41,137567.0
Kabupaten Gresik,688645,50368,6.82,715619,49352,6.45,695657,40240,5.47,3483890,3791294,3551091,6.334841628959282,78.77875516329641,36,3,42.56,18,1.59,831918.0
Kabupaten Bangkalan,571161,37637,6.18,574661,32469,5.35,568657,31878,5.31,2672499,2454525,3533358,9.954751131221727,77.86531722561706,35,4,43.91,16,1.43,814185.0
Kabupaten Sampang,546814,15261,2.72,553907,14191,2.5,588696,14744,2.44,2102577,2009776,3155720,74.8868778280543,58.41294729896303,5,7,66.65,1,-1.44,436547.0
Kabupaten Pamekasan,512149,9056,1.74,531362,8863,1.64,543357,7336,1.33,2051581,1981881,2021722,100.0,0.0,1,38,50.0,5,-2.55,-697451.0
Kabupaten Sumenep,718285,12463,1.71,715391,12261,1.69,735757,12301,1.64,2123789,2083764,2266004,92.98642533936652,12.583118834499963,3,30,52.78,4,-2.24,-453169.0
Kota Kediri,159567,6754,4.06,159426,6492,3.91,161496,6316,3.76,2662041,2509576,2861745,45.022624434389144,43.27011090752967,17,11,44.15,15,-0.12,142572.0
Kota Blitar,82605,4571,5.24,81652,4394,5.11,89912,4019,4.28,2567593,2524844,2479212,33.25791855203619,23.56559646472269,25,26,28.41,33,0.4,-239961.0
Kota Malang,428699,31286,6.8,436742,28353,6.1,459084,27710,5.69,3188783,3154607,3156303,1.3574660633484115,58.44297799414531,37,6,29.9,32,1.81,437130.0
Kota Probolinggo,127668,6059,4.53,123854,5748,4.44,126445,6555,4.93,2761530,2806260,2853791,18.552036199095028,42.860395385266,33,13,30.71,30,1.05,134618.0
Kota Pasuruan,117266,7015,5.64,115844,5622,4.63,122524,5899,4.59,3122151,3151103,3069481,26.24434389140272,53.97072239017548,29,8,40.11,19,0.71,350308.0
Kota Mojokerto,73060,3629,4.73,75031,2934,3.76,72568,3549,4.66,3154305,3015113,3296766,24.6606334841629,65.67831510801521,30,5,45.17,13,0.78,577593.0
Kota Madiun,105313,6539,5.85,110196,4946,4.3,112286,5036,4.29,2870909,3012823,2888690,33.03167420814481,44.658064735464606,26,10,38.84,22,0.41,169517.0
Kota Surabaya,1463594,106120,6.76,1545055,79767,4.91,1561997,79432,4.84,3655924,3902451,3963069,20.588235294117652,100.0,32,1,60.29,3,0.96,1243896.0
Kota Batu,130078,6151,4.52,123803,4667,3.63,137462,5024,3.53,2950622,2945208,2982673,50.22624434389141,49.49918793497505,16,9,49.86,6,-0.35,263500.0
