Kabupaten/Kota,TPT_rata2,TPT_std,cv_TPT,TPAK_rata2,TPAK_std,cv_TPAK,delta_TPT_krisis2008,delta_TPT_covid
Kabupaten Bangkalan,6.0377777777777775,1.2638063680594873,20.93,68.82638888888889,2.2693752739436768,3.3,-5.82,3.06
Kabupaten Banyuwangi,4.421666666666667,1.2130818797833984,27.43,72.22555555555556,2.730772832265242,3.78,-2.61,1.61
Kabupaten Blitar,3.619444444444445,0.8694046118378758,24.02,71.06222222222222,2.1347807589747716,3.0,-1.92,0.53
Kabupaten Bojonegoro,4.439166666666667,0.8469187230953226,19.08,70.25972222222222,3.713822540116468,5.29,-3.23,1.04
Kabupaten Bondowoso,3.0816666666666666,0.9406646586323951,30.52,72.33361111111111,2.878925353810077,3.98,-1.5,0.95
Kabupaten Gresik,6.319166666666667,1.2087186336340305,19.13,66.82194444444445,2.3043470038991702,3.45,-0.69,2.55
Kabupaten Jember,4.156944444444445,0.7778044871697759,18.71,68.17500000000001,3.2424795341546564,4.76,-1.46,1.43
Kabupaten Jombang,5.4425,1.1498877822486446,21.13,68.87555555555555,2.4911566466018393,3.62,-3.58,2.86
Kabupaten Kediri,5.0811111111111105,1.3786817612098923,27.13,68.87055555555555,1.6992817590770664,2.47,-1.72,1.33
Kabupaten Lamongan,4.691666666666666,0.88270473379201,18.81,69.50277777777778,2.98217805432747,4.29,0.48,1.52
Kabupaten Lumajang,3.203611111111111,0.7904090630351505,24.67,66.49527777777777,2.2986584784725186,3.46,-2.95,0.84
Kabupaten Madiun,4.878888888888889,1.3763715678589334,28.21,69.37694444444445,2.5820039748505055,3.72,-0.52,1.28
Kabupaten Magetan,3.8686111111111114,0.8094075639473377,20.92,74.20805555555556,2.8197085471462593,3.8,-4.34,0.4
Kabupaten Malang,5.043611111111111,0.9111947644125327,18.07,69.19333333333333,2.3495381273273113,3.4,-2.09,2.02
Kabupaten Mojokerto,4.670833333333333,1.124330192760535,24.07,70.64861111111111,2.0919212992419727,2.96,-3.26,1.73
Kabupaten Nganjuk,4.078055555555555,1.1232714025518717,27.54,66.89722222222223,2.653447935745568,3.97,-1.29,2.01
Kabupaten Ngawi,4.294722222222222,1.52051894413622,35.4,70.65944444444445,4.1072439195133095,5.81,-0.19,1.17
Kabupaten Pacitan,1.5394444444444444,0.7928539085237822,51.5,81.29777777777777,1.932025927105151,2.38,0.29,1.01
Kabupaten Pamekasan,2.6908333333333334,0.9294214677453293,34.54,73.83416666666666,4.0785414960858395,5.52,-2.27,0.73
Kabupaten Pasuruan,5.323333333333333,0.9131522648625087,17.15,70.19916666666667,2.299321031496547,3.28,-2.76,0.55
Kabupaten Ponorogo,4.073333333333334,0.8802339261275279,21.61,73.04916666666666,2.7113954785638463,3.71,-2.05,0.78
Kabupaten Probolinggo,3.07,0.8678845138679251,28.27,71.62166666666667,2.760876352771725,3.85,-2.83,0.82
Kabupaten Sampang,2.656388888888889,0.7417860115478753,27.92,72.15027777777777,3.264247716334459,4.52,-1.4,0.86
Kabupaten Sidoarjo,7.196944444444445,2.5841434687958524,35.91,67.70583333333333,2.011369338944756,2.97,-2.02,6.3
Kabupaten Situbondo,3.1733333333333333,0.8035729038268439,25.32,71.75666666666667,3.0398200411131184,4.24,-3.46,1.46
Kabupaten Sumenep,2.0005555555555556,0.6611529343611651,33.05,75.07944444444445,2.6983033279587447,3.59,-0.98,0.66
Kabupaten Trenggalek,3.664444444444445,0.7525816134927298,20.54,75.40555555555555,2.6467476650815036,3.51,-2.59,0.08
Kabupaten Tuban,3.8783333333333334,0.8251862534853428,21.28,70.25638888888889,3.1309244103616916,4.46,-0.64,2.01
Kabupaten Tulungagung,3.83,1.1529654859381984,30.1,72.08999999999999,2.229676842847282,3.09,-3.76,1.85
Kota Batu,4.575833333333333,2.07335778388584,45.31,71.76972222222223,3.5623630921978773,4.96,-6.12,3.5
Kota Blitar,5.337222222222222,1.3757599207264053,25.78,69.20611111111111,3.2847815557934843,4.75,-4.39,2.38
Kota Kediri,6.471111111111111,2.289291924665762,35.38,67.0025,2.3443977340234095,3.5,-4.26,2.43
Kota Madiun,6.8677777777777775,2.718872074864341,39.59,66.12527777777777,3.243415262552657,4.9,0.68,4.35
Kota Malang,7.927777777777777,1.603575253853477,20.23,65.14916666666666,2.5892323697779367,3.97,-3.28,3.36
Kota Mojokerto,5.934166666666666,2.6704781737491494,45.0,69.03666666666668,2.007655934900493,2.91,3.42,4.27
Kota Pasuruan,5.893611111111111,1.5164798689103842,25.73,68.58,3.4844714343025696,5.08,-3.99,1.58
Kota Probolinggo,5.3525,1.7541130237245266,32.77,66.41222222222223,2.3166369020516995,3.49,1.68,2.72
Kota Surabaya,7.02138888888889,1.9130986610543907,27.25,66.85888888888888,2.5106031356180507,3.76,0.47,3.85
