kode_wilayah,Kabupaten/Kota,tahun,TPAK,is_interpolasi
3526.0,Kabupaten Bangkalan,2008,65.86,False
3526.0,Kabupaten Bangkalan,2009,68.11,False
3526.0,Kabupaten Bangkalan,2010,67.51,False
3526.0,Kabupaten Bangkalan,2011,67.47,False
3526.0,Kabupaten Bangkalan,2012,70.32,False
3526.0,Kabupaten Bangkalan,2013,70.61,False
3526.0,Kabupaten Bangkalan,2014,69.44,False
3526.0,Kabupaten Bangkalan,2015,69.64,False
,Kabupaten Bangkalan,2016,68.85499999999999,True
3526.0,Kabupaten Bangkalan,2017,68.07,False
3526.0,Kabupaten Bangkalan,2018,69.12,False
3526.0,Kabupaten Bangkalan,2019,63.44,False
3526.0,Kabupaten Bangkalan,2020,67.0,False
3526.0,Kabupaten Bangkalan,2021,68.66,False
3526.0,Kabupaten Bangkalan,2022,73.86,False
3526.0,Kabupaten Bangkalan,2023,71.49,False
3526.0,Kabupaten Bangkalan,2024,70.48,False
3526.0,Kabupaten Bangkalan,2025,68.94,False
3510.0,Kabupaten Banyuwangi,2008,71.58,False
3510.0,Kabupaten Banyuwangi,2009,70.27,False
3510.0,Kabupaten Banyuwangi,2010,70.24,False
3510.0,Kabupaten Banyuwangi,2011,65.35,False
3510.0,Kabupaten Banyuwangi,2012,73.42,False
3510.0,Kabupaten Banyuwangi,2013,72.84,False
3510.0,Kabupaten Banyuwangi,2014,69.15,False
3510.0,Kabupaten Banyuwangi,2015,72.87,False
,Kabupaten Banyuwangi,2016,72.87,True
3510.0,Kabupaten Banyuwangi,2017,72.87,False
3510.0,Kabupaten Banyuwangi,2018,72.21,False
3510.0,Kabupaten Banyuwangi,2019,72.13,False
3510.0,Kabupaten Banyuwangi,2020,71.8,False
3510.0,Kabupaten Banyuwangi,2021,72.32,False
3510.0,Kabupaten Banyuwangi,2022,72.0,False
3510.0,Kabupaten Banyuwangi,2023,79.04,False
3510.0,Kabupaten Banyuwangi,2024,75.36,False
3510.0,Kabupaten Banyuwangi,2025,73.74,False
3505.0,Kabupaten Blitar,2008,68.47,False
3505.0,Kabupaten Blitar,2009,69.76,False
3505.0,Kabupaten Blitar,2010,70.13,False
3505.0,Kabupaten Blitar,2011,68.89,False
3505.0,Kabupaten Blitar,2012,73.55,False
3505.0,Kabupaten Blitar,2013,71.99,False
3505.0,Kabupaten Blitar,2014,69.12,False
3505.0,Kabupaten Blitar,2015,67.57,False
,Kabupaten Blitar,2016,69.31,True
3505.0,Kabupaten Blitar,2017,71.05,False
3505.0,Kabupaten Blitar,2018,70.61,False
3505.0,Kabupaten Blitar,2019,72.93,False
3505.0,Kabupaten Blitar,2020,70.83,False
3505.0,Kabupaten Blitar,2021,70.44,False
3505.0,Kabupaten Blitar,2022,72.79,False
3505.0,Kabupaten Blitar,2023,73.5,False
3505.0,Kabupaten Blitar,2024,72.36,False
3505.0,Kabupaten Blitar,2025,75.82,False
3522.0,Kabupaten Bojonegoro,2008,68.07,False
3522.0,Kabupaten Bojonegoro,2009,67.14,False
3522.0,Kabupaten Bojonegoro,2010,67.88,False
3522.0,Kabupaten Bojonegoro,2011,64.82,False
3522.0,Kabupaten Bojonegoro,2012,69.18,False
3522.0,Kabupaten Bojonegoro,2013,72.99,False
3522.0,Kabupaten Bojonegoro,2014,65.49,False
3522.0,Kabupaten Bojonegoro,2015,66.22,False
,Kabupaten Bojonegoro,2016,68.36500000000001,True
3522.0,Kabupaten Bojonegoro,2017,70.51,False
3522.0,Kabupaten Bojonegoro,2018,67.36,False
3522.0,Kabupaten Bojonegoro,2019,71.29,False
3522.0,Kabupaten Bojonegoro,2020,74.6,False
3522.0,Kabupaten Bojonegoro,2021,71.84,False
3522.0,Kabupaten Bojonegoro,2022,72.16,False
3522.0,Kabupaten Bojonegoro,2023,74.29,False
3522.0,Kabupaten Bojonegoro,2024,73.86,False
3522.0,Kabupaten Bojonegoro,2025,78.61,False
3511.0,Kabupaten Bondowoso,2008,68.04,False
3511.0,Kabupaten Bondowoso,2009,71.33,False
3511.0,Kabupaten Bondowoso,2010,71.48,False
3511.0,Kabupaten Bondowoso,2011,67.44,False
3511.0,Kabupaten Bondowoso,2012,70.74,False
3511.0,Kabupaten Bondowoso,2013,67.48,False
3511.0,Kabupaten Bondowoso,2014,70.55,False
3511.0,Kabupaten Bondowoso,2015,71.33,False
,Kabupaten Bondowoso,2016,72.315,True
3511.0,Kabupaten Bondowoso,2017,73.3,False
3511.0,Kabupaten Bondowoso,2018,71.63,False
3511.0,Kabupaten Bondowoso,2019,76.01,False
3511.0,Kabupaten Bondowoso,2020,75.09,False
3511.0,Kabupaten Bondowoso,2021,73.89,False
3511.0,Kabupaten Bondowoso,2022,74.61,False
3511.0,Kabupaten Bondowoso,2023,74.39,False
3511.0,Kabupaten Bondowoso,2024,75.1,False
3511.0,Kabupaten Bondowoso,2025,77.28,False
3525.0,Kabupaten Gresik,2008,66.3,False
3525.0,Kabupaten Gresik,2009,65.02,False
3525.0,Kabupaten Gresik,2010,67.07,False
3525.0,Kabupaten Gresik,2011,63.65,False
3525.0,Kabupaten Gresik,2012,63.07,False
3525.0,Kabupaten Gresik,2013,67.6,False
3525.0,Kabupaten Gresik,2014,63.66,False
3525.0,Kabupaten Gresik,2015,64.69,False
,Kabupaten Gresik,2016,66.36500000000001,True
3525.0,Kabupaten Gresik,2017,68.04,False
3525.0,Kabupaten Gresik,2018,67.52,False
3525.0,Kabupaten Gresik,2019,65.83,False
3525.0,Kabupaten Gresik,2020,66.53,False
3525.0,Kabupaten Gresik,2021,69.43,False
3525.0,Kabupaten Gresik,2022,68.3,False
3525.0,Kabupaten Gresik,2023,70.12,False
3525.0,Kabupaten Gresik,2024,71.61,False
3525.0,Kabupaten Gresik,2025,67.99,False
3509.0,Kabupaten Jember,2008,68.47,False
3509.0,Kabupaten Jember,2009,68.41,False
3509.0,Kabupaten Jember,2010,66.36,False
